Student_Number,Matric_Aggregate_Group,FTENab,Matric_Status_Code,Age_Group,Race,Gender,Home_Language,Employment,Magisterial_District,Region,Class
11446794,1201_1300,T,DEGR,26_28     ,African,F,TSHIVENDA,Employed,THOHOYANDOU,North Eastern,1.0
10462923,1201_1300,T,DEGR,26_28     ,African,M,NORTHERN SOTHO,Employed,SOSHANGUWE,Gauteng,1.0
10467887,0000_0000,T,DEGR,22_23     ,African,M,SHONA,Employed,BELLVILLE,Western Cape,1.0
11669033,1151_1200,F,DEGR,20_21     ,African,M,SETSWANA,Unemployed,GARANKUWA,Midlands,1.0
10780356,0000_0000,F,DEGR,20_21     ,African,F,SESOTHO,Unemployed,PRETORIA,Gauteng,1.0
10122521,1301_1400,T,SENR,29_34     ,African,M,ISIXHOSA,Employed,BLOEMFONTEIN,Midlands,1.0
11456315,0901_0950,F,DIPL,22_23     ,African,M,TSHIVENDA,Employed,DZANANI,North Eastern,1.0
12240661,1101_1150,T,DEGR,20_21     ,African,F,NORTHERN SOTHO,Employed,NAMAKGALE,North Eastern,1.0
11675688,1001_1050,T,MATR,41_50     ,African,M,ISIZULU,Unemployed,PINETOWN,KwaZulu-Natal,1.0
11676927,1201_1300,T,MATR,35_40     ,Coloured,M,AFRIKAANS,Employed,WYNBERG,Western Cape,1.0
10785579,0000_0000,F,DEGR,20_21     ,African,M,ENGLISH,Unemployed,JOHANNESBURG,Gauteng,1.0
10787849,1051_1100,T,DIPL,24_25     ,African,F,ISIZULU,Employed,DURBAN,KwaZulu-Natal,1.0
10468395,1201_1300,T,DEGR,26_28     ,African,M,TSHIVENDA,Unemployed,JOHANNESBURG,Gauteng,1.0
10133229,1051_1100,T,DEGR,26_28     ,African,M,ENGLISH,Employed,ROODEPOORT,Gauteng,1.0
11683152,1201_1300,T,DEGR,22_23     ,African,F,NORTHERN SOTHO,Employed,SOSHANGUWE,Gauteng,1.0
11466601,0000_0000,T,KWAL,35_40     ,African,M,ENGLISH,Employed,PRETORIA,Gauteng,1.0
10475440,0000_0000,T,DEGR,26_28     ,African,F,TSHIVENDA,Employed,PRETORIA,Gauteng,1.0
11472353,0000_0000,T,DEGR,24_25     ,African,M,ENGLISH,Unemployed,BELLVILLE,Western Cape,1.0
10135434,1101_1150,T,SENR,29_34     ,African,M,ISIZULU,Employed,JOHANNESBURG,Gauteng,1.0
11474054,1201_1300,T,DEGR,26_28     ,African,M,SESOTHO,Unemployed,WESTONARIA,Gauteng,1.0
11474782,0000_0000,F,DEGR,29_34     ,White,M,AFRIKAANS,Employed,HIGHVELD RIDGE,North Eastern,1.0
11477657,0001_0600,T,KWAL,26_28     ,African,M,SESOTHO,Employed,JOHANNESBURG,Gauteng,1.0
11684628,1051_1100,T,DEGR,24_25     ,African,M,ISIXHOSA,Unemployed,PORT ELIZABETH,Eastern Cape,1.0
11686345,1151_1200,T,DEGR,26_28     ,African,F,NORTHERN SOTHO,Employed,PRETORIA,Gauteng,1.0
12246400,1201_1300,T,MATR,35_40     ,African,M,SESOTHO,Employed,LADYBRAND,Midlands,1.0
11480194,1201_1300,F,MATR,35_40     ,White,M,ENGLISH,Employed,BOKSBURG,Gauteng,1.0
11480275,1301_1400,F,DEGR,20_21     ,White,F,ENGLISH,Unemployed,BELLVILLE,Western Cape,1.0
12250292,0901_0950,F,DIPL,26_28     ,African,F,ISINDEBELE,Unemployed,MDUTJANA,North Eastern,1.0
10482951,0000_0000,F,DEGR,22_23     ,African,M,NORTHERN SOTHO,Employed,BOKSBURG,Gauteng,1.0
10483591,0000_0000,T,DEGR,29_34     ,African,M,SISWATI,Employed,WONDERBOOM,Gauteng,1.0
12251671,0901_0950,F,DIPL,20_21     ,African,M,NORTHERN SOTHO,Unemployed,ALBERTON,Gauteng,1.0
12252578,1301_1400,T,DEGR,24_25     ,African,M,ISIXHOSA,Unemployed,WESTONARIA,Gauteng,1.0
11099140,0000_0000,F,DEGR,22_23     ,African,M,ISIXHOSA,Unemployed,BLOEMFONTEIN,Midlands,1.0
11099156,0000_0000,T,DEGR,24_25     ,African,M,SISWATI,Employed,NSIKAZI,North Eastern,1.0
11099703,0000_0000,F,DIPL,22_23     ,African,F,NORTHERN SOTHO,Unemployed,PRETORIA,Gauteng,1.0
10797194,0000_0000,F,HCER,26_28     ,Coloured,F,NORTHERN SOTHO,Unemployed,BELA-BELA,North Eastern,1.0
12255186,0951_1000,F,DIPL,26_28     ,African,F,SETSWANA,Unemployed,TEMBA,Midlands,1.0
10485405,0000_0000,T,DEGR,26_28     ,African,F,SESOTHO,Employed,VANDERBIJLPARK,Gauteng,1.0
11690598,0851_0900,T,DEGR,29_34     ,African,F,ISIZULU,Employed,LOWER UMFOLOZI,KwaZulu-Natal,1.0
11692175,0000_0000,F,DEGR,20_21     ,African,M,ENGLISH,Unemployed,ERMELO,North Eastern,1.0
11693441,0000_0000,T,DEGR,22_23     ,African,M,ISIXHOSA,Unemployed,MITCHELLS PLAIN,Western Cape,1.0
11693522,1301_1400,T,DEGR,26_28     ,African,M,ISIZULU,Unemployed,UMLAZI,KwaZulu-Natal,1.0
12259704,1001_1050,F,DEGR,24_25     ,African,M,NORTHERN SOTHO,Employed,SEKGOSESE,North Eastern,1.0
